dataset,generating_model,attribution_method,judging_model,fill_strategy,auc,drop_at_75
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,vgg16,black,0.5185750000000001,0.4769999999999999
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,vgg16,blur,0.6408999999999999,0.2629999999999999
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,vgg16,gray,0.5688249999999999,0.37199999999999994
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,vgg16,mean,0.58685,0.348
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,vgg16,random_noise,0.5856750000000001,0.3549999999999999
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,vgg16,white,0.544175,0.4129999999999999
imagenet,independent,u2net,mobilenet_v2,black,0.6225,0.2380000000000001
imagenet,independent,u2net,mobilenet_v2,blur,0.614225,0.276
imagenet,independent,u2net,mobilenet_v2,gray,0.63605,0.22000000000000008
imagenet,independent,u2net,mobilenet_v2,mean,0.642,0.19600000000000006
imagenet,independent,u2net,mobilenet_v2,random_noise,0.57945,0.32100000000000006
imagenet,independent,u2net,mobilenet_v2,white,0.60885,0.275
imagenet,independent,u2net,resnet50,black,0.7536250000000001,0.20800000000000007
imagenet,independent,u2net,resnet50,blur,0.7718250000000001,0.20200000000000007
imagenet,independent,u2net,resnet50,gray,0.7514749999999999,0.2240000000000001
imagenet,independent,u2net,resnet50,mean,0.75995,0.20100000000000007
imagenet,independent,u2net,resnet50,random_noise,0.7147249999999998,0.28400000000000003
imagenet,independent,u2net,resnet50,white,0.721425,0.277
imagenet,independent,u2net,vgg16,black,0.464525,0.5369999999999999
imagenet,independent,u2net,vgg16,blur,0.6238,0.2889999999999999
imagenet,independent,u2net,vgg16,gray,0.545525,0.411
imagenet,independent,u2net,vgg16,mean,0.5686500000000001,0.38699999999999996
imagenet,independent,u2net,vgg16,random_noise,0.559025,0.38199999999999995
imagenet,independent,u2net,vgg16,white,0.5021249999999999,0.472
imagenet,independent,u2net+dino,mobilenet_v2,black,0.62255,0.2360000000000001
imagenet,independent,u2net+dino,mobilenet_v2,blur,0.626775,0.25
imagenet,independent,u2net+dino,mobilenet_v2,gray,0.6381,0.2260000000000001
imagenet,independent,u2net+dino,mobilenet_v2,mean,0.6474,0.19800000000000006
imagenet,independent,u2net+dino,mobilenet_v2,random_noise,0.5714,0.34400000000000003
imagenet,independent,u2net+dino,mobilenet_v2,white,0.5992999999999999,0.28300000000000003
imagenet,independent,u2net+dino,resnet50,black,0.7614749999999999,0.20300000000000007
imagenet,independent,u2net+dino,resnet50,blur,0.7797749999999999,0.18300000000000005
imagenet,independent,u2net+dino,resnet50,gray,0.750175,0.2220000000000001
imagenet,independent,u2net+dino,resnet50,mean,0.7601,0.21300000000000008
imagenet,independent,u2net+dino,resnet50,random_noise,0.7077249999999999,0.29500000000000004
imagenet,independent,u2net+dino,resnet50,white,0.7166250000000001,0.276
imagenet,independent,u2net+dino,vgg16,black,0.4282249999999999,0.5549999999999999
imagenet,independent,u2net+dino,vgg16,blur,0.6282500000000001,0.2929999999999999
imagenet,independent,u2net+dino,vgg16,gray,0.5195250000000001,0.43499999999999994
imagenet,independent,u2net+dino,vgg16,mean,0.553,0.38999999999999996
imagenet,independent,u2net+dino,vgg16,random_noise,0.5343249999999998,0.40599999999999997
imagenet,independent,u2net+dino,vgg16,white,0.46787499999999993,0.49499999999999994
imagenet,independent,u2net+dino_320,mobilenet_v2,black,0.6234000000000001,0.2310000000000001
imagenet,independent,u2net+dino_320,mobilenet_v2,blur,0.626275,0.252
imagenet,independent,u2net+dino_320,mobilenet_v2,gray,0.63875,0.2220000000000001
imagenet,independent,u2net+dino_320,mobilenet_v2,mean,0.64795,0.19400000000000006
imagenet,independent,u2net+dino_320,mobilenet_v2,random_noise,0.57075,0.34
imagenet,independent,u2net+dino_320,mobilenet_v2,white,0.5986499999999999,0.28
imagenet,independent,u2net+dino_320,resnet50,black,0.7625749999999999,0.19900000000000007
imagenet,independent,u2net+dino_320,resnet50,blur,0.778925,0.18200000000000005
imagenet,independent,u2net+dino_320,resnet50,gray,0.7490750000000002,0.21700000000000008
imagenet,independent,u2net+dino_320,resnet50,mean,0.7604000000000002,0.21300000000000008
imagenet,independent,u2net+dino_320,resnet50,random_noise,0.707325,0.28400000000000003
imagenet,independent,u2net+dino_320,resnet50,white,0.715625,0.275
imagenet,independent,u2net+dino_320,vgg16,black,0.426325,0.5519999999999999
imagenet,independent,u2net+dino_320,vgg16,blur,0.6282000000000001,0.2919999999999999
imagenet,independent,u2net+dino_320,vgg16,gray,0.517875,0.43699999999999994
imagenet,independent,u2net+dino_320,vgg16,mean,0.5522999999999999,0.38899999999999996
imagenet,independent,u2net+dino_320,vgg16,random_noise,0.5340250000000001,0.40199999999999997
imagenet,independent,u2net+dino_320,vgg16,white,0.4649750000000001,0.49399999999999994
imagenet,mobilenet_v2,grad_cam,resnet50,black,0.845075,0.061000000000000054
imagenet,mobilenet_v2,grad_cam,resnet50,blur,0.8001750000000001,0.15200000000000002
imagenet,mobilenet_v2,grad_cam,resnet50,gray,0.8163750000000002,0.10000000000000009
imagenet,mobilenet_v2,grad_cam,resnet50,mean,0.8123499999999999,0.10200000000000009
imagenet,mobilenet_v2,grad_cam,resnet50,random_noise,0.7547249999999999,0.21500000000000008
imagenet,mobilenet_v2,grad_cam,resnet50,white,0.8003750000000003,0.122
imagenet,mobilenet_v2,grad_cam,vgg16,black,0.536725,0.43099999999999994
imagenet,mobilenet_v2,grad_cam,vgg16,blur,0.6466000000000001,0.22999999999999998
imagenet,mobilenet_v2,grad_cam,vgg16,gray,0.570825,0.36599999999999994
imagenet,mobilenet_v2,grad_cam,vgg16,mean,0.58875,0.33599999999999997
imagenet,mobilenet_v2,grad_cam,vgg16,random_noise,0.5862750000000001,0.31599999999999995
imagenet,mobilenet_v2,grad_cam,vgg16,white,0.5521250000000001,0.37699999999999995
imagenet,mobilenet_v2,gradientshap,resnet50,black,0.343675,0.8340000000000001
imagenet,mobilenet_v2,gradientshap,resnet50,blur,0.587225,0.5880000000000001
imagenet,mobilenet_v2,gradientshap,resnet50,gray,0.4971749999999999,0.667
imagenet,mobilenet_v2,gradientshap,resnet50,mean,0.5267000000000001,0.639
imagenet,mobilenet_v2,gradientshap,resnet50,random_noise,0.4845750000000001,0.7150000000000001
imagenet,mobilenet_v2,gradientshap,resnet50,white,0.316425,0.8440000000000001
