image_id,explainer,judge_model,SSMS_score,S,alpha,entropy,sparsity
image_00231,grad_cam,mobilenet_v2,1.0,12022.529296875,3.1734976768493652,10.319867134094238,0.40060985331632654
image_00232,grad_cam,resnet50,1.0,21630.400390625,1.3196982145309448,10.591326713562012,0.13103874362244897
image_00232,grad_cam,mobilenet_v2,1.0,21630.400390625,1.3196982145309448,10.591326713562012,0.13103874362244897
image_00233,grad_cam,resnet50,0.0,19729.03125,1.5432571172714233,10.518049240112305,0.19933832908163265
image_00233,grad_cam,mobilenet_v2,1.0,19729.03125,1.5432571172714233,10.518049240112305,0.19933832908163265
image_00234,grad_cam,resnet50,1.0,23646.8515625,1.1218892335891724,10.642032623291016,0.10379464285714286
image_00234,grad_cam,mobilenet_v2,1.0,23646.8515625,1.1218892335891724,10.642032623291016,0.10379464285714286
image_00235,grad_cam,resnet50,1.0,17792.716796875,1.8200303316116333,10.520907402038574,0.21871014030612246
image_00235,grad_cam,mobilenet_v2,1.0,17792.716796875,1.8200303316116333,10.520907402038574,0.21871014030612246
image_00236,grad_cam,resnet50,1.0,17381.189453125,1.8867990970611572,10.471400260925293,0.2797751913265306
image_00236,grad_cam,mobilenet_v2,1.0,17381.189453125,1.8867990970611572,10.471400260925293,0.2797751913265306
image_00237,grad_cam,resnet50,1.0,25766.7734375,0.9473140239715576,10.705124855041504,0.028958067602040817
image_00237,grad_cam,mobilenet_v2,1.0,25766.7734375,0.9473140239715576,10.705124855041504,0.028958067602040817
image_00238,grad_cam,resnet50,1.0,26276.642578125,0.9095285534858704,10.678881645202637,0.03529575892857143
image_00238,grad_cam,mobilenet_v2,1.0,26276.642578125,0.9095285534858704,10.678881645202637,0.03529575892857143
image_00239,grad_cam,resnet50,1.0,21407.88671875,1.3438091278076172,10.54919147491455,0.18582589285714285
image_00239,grad_cam,mobilenet_v2,1.0,21407.88671875,1.3438091278076172,10.54919147491455,0.18582589285714285
image_00240,grad_cam,resnet50,1.0,21127.2265625,1.3749449253082275,10.512545585632324,0.25918765943877553
image_00240,grad_cam,mobilenet_v2,0.0,21127.2265625,1.3749449253082275,10.512545585632324,0.25918765943877553
image_00241,grad_cam,resnet50,1.0,12770.423828125,2.9290788173675537,10.407875061035156,0.27537069515306123
image_00241,grad_cam,mobilenet_v2,0.0,12770.423828125,2.9290788173675537,10.407875061035156,0.27537069515306123
