image_id,explainer,judge_model,SSMS_score,S,alpha,entropy,sparsity
image_00028,grad_cam,mobilenet_v2,1.0,23435.451171875,1.1410298347473145,10.545415878295898,0.20037468112244897
image_00029,grad_cam,resnet50,0.0,16018.7421875,2.132330894470215,10.456181526184082,0.23505261479591838
image_00029,grad_cam,mobilenet_v2,0.0,16018.7421875,2.132330894470215,10.456181526184082,0.23505261479591838
image_00030,grad_cam,resnet50,1.0,16605.068359375,2.0217278003692627,10.412070274353027,0.33998325892857145
image_00030,grad_cam,mobilenet_v2,1.0,16605.068359375,2.0217278003692627,10.412070274353027,0.33998325892857145
image_00031,grad_cam,resnet50,0.0,21717.9453125,1.3103474378585815,10.576271057128906,0.13325095663265307
image_00031,grad_cam,mobilenet_v2,0.0,21717.9453125,1.3103474378585815,10.576271057128906,0.13325095663265307
image_00032,grad_cam,resnet50,1.0,26265.3515625,0.910349428653717,10.722563743591309,0.03077168367346939
image_00032,grad_cam,mobilenet_v2,1.0,26265.3515625,0.910349428653717,10.722563743591309,0.03077168367346939
image_00033,grad_cam,resnet50,1.0,19353.447265625,1.5926131010055542,10.496088981628418,0.24742904974489796
image_00033,grad_cam,mobilenet_v2,1.0,19353.447265625,1.5926131010055542,10.496088981628418,0.24742904974489796
image_00034,grad_cam,resnet50,1.0,21791.314453125,1.302568793296814,10.560181617736816,0.15908003826530612
image_00034,grad_cam,mobilenet_v2,1.0,21791.314453125,1.302568793296814,10.560181617736816,0.15908003826530612
