dataset,generating_model,attribution_method,judging_model,fill_strategy,occlusion_level,mean_accuracy
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,5.0,0.935
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,10.0,0.934
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,15.0,0.934
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,20.0,0.926
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,25.0,0.918
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,30.0,0.913
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,35.0,0.905
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,40.0,0.905
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,45.0,0.891
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,50.0,0.89
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,55.0,0.87
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,60.0,0.854
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,65.0,0.826
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,70.0,0.781
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,75.0,0.746
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,80.0,0.672
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,85.0,0.544
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,90.0,0.377
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,95.0,0.129
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,100.0,0.005
imagenet,independent,dino+u2net_sum,resnet50,black,0.0,0.99
imagenet,independent,dino+u2net_sum,resnet50,black,5.0,0.987
imagenet,independent,dino+u2net_sum,resnet50,black,10.0,0.985
imagenet,independent,dino+u2net_sum,resnet50,black,15.0,0.984
imagenet,independent,dino+u2net_sum,resnet50,black,20.0,0.985
imagenet,independent,dino+u2net_sum,resnet50,black,25.0,0.982
imagenet,independent,dino+u2net_sum,resnet50,black,30.0,0.984
imagenet,independent,dino+u2net_sum,resnet50,black,35.0,0.979
imagenet,independent,dino+u2net_sum,resnet50,black,40.0,0.975
imagenet,independent,dino+u2net_sum,resnet50,black,45.0,0.976
imagenet,independent,dino+u2net_sum,resnet50,black,50.0,0.974
imagenet,independent,dino+u2net_sum,resnet50,black,55.0,0.96
imagenet,independent,dino+u2net_sum,resnet50,black,60.0,0.952
imagenet,independent,dino+u2net_sum,resnet50,black,65.0,0.945
imagenet,independent,dino+u2net_sum,resnet50,black,70.0,0.928
imagenet,independent,dino+u2net_sum,resnet50,black,75.0,0.892
imagenet,independent,dino+u2net_sum,resnet50,black,80.0,0.84
imagenet,independent,dino+u2net_sum,resnet50,black,85.0,0.727
imagenet,independent,dino+u2net_sum,resnet50,black,90.0,0.547
imagenet,independent,dino+u2net_sum,resnet50,black,95.0,0.227
imagenet,independent,dino+u2net_sum,resnet50,black,100.0,0.005
imagenet,independent,dino+u2net_sum,resnet50,blur,0.0,0.99
imagenet,independent,dino+u2net_sum,resnet50,blur,5.0,0.989
imagenet,independent,dino+u2net_sum,resnet50,blur,10.0,0.988
imagenet,independent,dino+u2net_sum,resnet50,blur,15.0,0.987
imagenet,independent,dino+u2net_sum,resnet50,blur,20.0,0.988
imagenet,independent,dino+u2net_sum,resnet50,blur,25.0,0.987
imagenet,independent,dino+u2net_sum,resnet50,blur,30.0,0.988
imagenet,independent,dino+u2net_sum,resnet50,blur,35.0,0.983
imagenet,independent,dino+u2net_sum,resnet50,blur,40.0,0.983
imagenet,independent,dino+u2net_sum,resnet50,blur,45.0,0.978
imagenet,independent,dino+u2net_sum,resnet50,blur,50.0,0.972
imagenet,independent,dino+u2net_sum,resnet50,blur,55.0,0.966
imagenet,independent,dino+u2net_sum,resnet50,blur,60.0,0.959
imagenet,independent,dino+u2net_sum,resnet50,blur,65.0,0.943
imagenet,independent,dino+u2net_sum,resnet50,blur,70.0,0.923
imagenet,independent,dino+u2net_sum,resnet50,blur,75.0,0.908
imagenet,independent,dino+u2net_sum,resnet50,blur,80.0,0.864
imagenet,independent,dino+u2net_sum,resnet50,blur,85.0,0.794
imagenet,independent,dino+u2net_sum,resnet50,blur,90.0,0.66
imagenet,independent,dino+u2net_sum,resnet50,blur,95.0,0.44
imagenet,independent,dino+u2net_sum,resnet50,blur,100.0,0.31
imagenet,independent,dino+u2net_sum,resnet50,gray,0.0,0.99
imagenet,independent,dino+u2net_sum,resnet50,gray,5.0,0.988
imagenet,independent,dino+u2net_sum,resnet50,gray,10.0,0.986
imagenet,independent,dino+u2net_sum,resnet50,gray,15.0,0.986
imagenet,independent,dino+u2net_sum,resnet50,gray,20.0,0.985
imagenet,independent,dino+u2net_sum,resnet50,gray,25.0,0.986
imagenet,independent,dino+u2net_sum,resnet50,gray,30.0,0.982
imagenet,independent,dino+u2net_sum,resnet50,gray,35.0,0.979
imagenet,independent,dino+u2net_sum,resnet50,gray,40.0,0.976
imagenet,independent,dino+u2net_sum,resnet50,gray,45.0,0.971
imagenet,independent,dino+u2net_sum,resnet50,gray,50.0,0.966
imagenet,independent,dino+u2net_sum,resnet50,gray,55.0,0.952
imagenet,independent,dino+u2net_sum,resnet50,gray,60.0,0.951
imagenet,independent,dino+u2net_sum,resnet50,gray,65.0,0.939
imagenet,independent,dino+u2net_sum,resnet50,gray,70.0,0.924
imagenet,independent,dino+u2net_sum,resnet50,gray,75.0,0.899
imagenet,independent,dino+u2net_sum,resnet50,gray,80.0,0.853
imagenet,independent,dino+u2net_sum,resnet50,gray,85.0,0.772
imagenet,independent,dino+u2net_sum,resnet50,gray,90.0,0.637
imagenet,independent,dino+u2net_sum,resnet50,gray,95.0,0.337
imagenet,independent,dino+u2net_sum,resnet50,gray,100.0,0.005
imagenet,independent,dino+u2net_sum,resnet50,mean,0.0,0.99
imagenet,independent,dino+u2net_sum,resnet50,mean,5.0,0.988
imagenet,independent,dino+u2net_sum,resnet50,mean,10.0,0.986
imagenet,independent,dino+u2net_sum,resnet50,mean,15.0,0.987
imagenet,independent,dino+u2net_sum,resnet50,mean,20.0,0.987
imagenet,independent,dino+u2net_sum,resnet50,mean,25.0,0.985
imagenet,independent,dino+u2net_sum,resnet50,mean,30.0,0.985
imagenet,independent,dino+u2net_sum,resnet50,mean,35.0,0.982
imagenet,independent,dino+u2net_sum,resnet50,mean,40.0,0.981
imagenet,independent,dino+u2net_sum,resnet50,mean,45.0,0.973
imagenet,independent,dino+u2net_sum,resnet50,mean,50.0,0.973
imagenet,independent,dino+u2net_sum,resnet50,mean,55.0,0.969
imagenet,independent,dino+u2net_sum,resnet50,mean,60.0,0.955
imagenet,independent,dino+u2net_sum,resnet50,mean,65.0,0.953
imagenet,independent,dino+u2net_sum,resnet50,mean,70.0,0.932
imagenet,independent,dino+u2net_sum,resnet50,mean,75.0,0.902
imagenet,independent,dino+u2net_sum,resnet50,mean,80.0,0.853
imagenet,independent,dino+u2net_sum,resnet50,mean,85.0,0.773
imagenet,independent,dino+u2net_sum,resnet50,mean,90.0,0.627
imagenet,independent,dino+u2net_sum,resnet50,mean,95.0,0.332
imagenet,independent,dino+u2net_sum,resnet50,mean,100.0,0.014
imagenet,independent,dino+u2net_sum,resnet50,random_noise,0.0,0.99
imagenet,independent,dino+u2net_sum,resnet50,random_noise,5.0,0.987
imagenet,independent,dino+u2net_sum,resnet50,random_noise,10.0,0.986
imagenet,independent,dino+u2net_sum,resnet50,random_noise,15.0,0.985
imagenet,independent,dino+u2net_sum,resnet50,random_noise,20.0,0.983
imagenet,independent,dino+u2net_sum,resnet50,random_noise,25.0,0.981
imagenet,independent,dino+u2net_sum,resnet50,random_noise,30.0,0.977
imagenet,independent,dino+u2net_sum,resnet50,random_noise,35.0,0.976
imagenet,independent,dino+u2net_sum,resnet50,random_noise,40.0,0.968
imagenet,independent,dino+u2net_sum,resnet50,random_noise,45.0,0.964
imagenet,independent,dino+u2net_sum,resnet50,random_noise,50.0,0.965
imagenet,independent,dino+u2net_sum,resnet50,random_noise,55.0,0.944
imagenet,independent,dino+u2net_sum,resnet50,random_noise,60.0,0.925
imagenet,independent,dino+u2net_sum,resnet50,random_noise,65.0,0.894
imagenet,independent,dino+u2net_sum,resnet50,random_noise,70.0,0.876
imagenet,independent,dino+u2net_sum,resnet50,random_noise,75.0,0.833
imagenet,independent,dino+u2net_sum,resnet50,random_noise,80.0,0.779
imagenet,independent,dino+u2net_sum,resnet50,random_noise,85.0,0.65
imagenet,independent,dino+u2net_sum,resnet50,random_noise,90.0,0.439
imagenet,independent,dino+u2net_sum,resnet50,random_noise,95.0,0.163
imagenet,independent,dino+u2net_sum,resnet50,random_noise,100.0,0.004
imagenet,independent,dino+u2net_sum,resnet50,white,0.0,0.99
imagenet,independent,dino+u2net_sum,resnet50,white,5.0,0.987
imagenet,independent,dino+u2net_sum,resnet50,white,10.0,0.986
imagenet,independent,dino+u2net_sum,resnet50,white,15.0,0.982
imagenet,independent,dino+u2net_sum,resnet50,white,20.0,0.982
imagenet,independent,dino+u2net_sum,resnet50,white,25.0,0.976
imagenet,independent,dino+u2net_sum,resnet50,white,30.0,0.977
imagenet,independent,dino+u2net_sum,resnet50,white,35.0,0.969
imagenet,independent,dino+u2net_sum,resnet50,white,40.0,0.967
imagenet,independent,dino+u2net_sum,resnet50,white,45.0,0.964
imagenet,independent,dino+u2net_sum,resnet50,white,50.0,0.95
imagenet,independent,dino+u2net_sum,resnet50,white,55.0,0.943
imagenet,independent,dino+u2net_sum,resnet50,white,60.0,0.927
imagenet,independent,dino+u2net_sum,resnet50,white,65.0,0.906
imagenet,independent,dino+u2net_sum,resnet50,white,70.0,0.885
imagenet,independent,dino+u2net_sum,resnet50,white,75.0,0.856
imagenet,independent,dino+u2net_sum,resnet50,white,80.0,0.786
imagenet,independent,dino+u2net_sum,resnet50,white,85.0,0.677
imagenet,independent,dino+u2net_sum,resnet50,white,90.0,0.488
imagenet,independent,dino+u2net_sum,resnet50,white,95.0,0.19
imagenet,independent,dino+u2net_sum,resnet50,white,100.0,0.005
imagenet,independent,dino+u2net_sum,vgg16,black,0.0,0.952
imagenet,independent,dino+u2net_sum,vgg16,black,5.0,0.898
imagenet,independent,dino+u2net_sum,vgg16,black,10.0,0.862
imagenet,independent,dino+u2net_sum,vgg16,black,15.0,0.844
imagenet,independent,dino+u2net_sum,vgg16,black,20.0,0.826
imagenet,independent,dino+u2net_sum,vgg16,black,25.0,0.799
imagenet,independent,dino+u2net_sum,vgg16,black,30.0,0.783
imagenet,independent,dino+u2net_sum,vgg16,black,35.0,0.759
imagenet,independent,dino+u2net_sum,vgg16,black,40.0,0.741
imagenet,independent,dino+u2net_sum,vgg16,black,45.0,0.718
imagenet,independent,dino+u2net_sum,vgg16,black,50.0,0.691
imagenet,independent,dino+u2net_sum,vgg16,black,55.0,0.655
imagenet,independent,dino+u2net_sum,vgg16,black,60.0,0.615
imagenet,independent,dino+u2net_sum,vgg16,black,65.0,0.588
imagenet,independent,dino+u2net_sum,vgg16,black,70.0,0.529
imagenet,independent,dino+u2net_sum,vgg16,black,75.0,0.436
imagenet,independent,dino+u2net_sum,vgg16,black,80.0,0.327
imagenet,independent,dino+u2net_sum,vgg16,black,85.0,0.221
imagenet,independent,dino+u2net_sum,vgg16,black,90.0,0.119
imagenet,independent,dino+u2net_sum,vgg16,black,95.0,0.044
imagenet,independent,dino+u2net_sum,vgg16,black,100.0,0.005
imagenet,independent,dino+u2net_sum,vgg16,blur,0.0,0.952
imagenet,independent,dino+u2net_sum,vgg16,blur,5.0,0.953
imagenet,independent,dino+u2net_sum,vgg16,blur,10.0,0.947
imagenet,independent,dino+u2net_sum,vgg16,blur,15.0,0.939
imagenet,independent,dino+u2net_sum,vgg16,blur,20.0,0.938
imagenet,independent,dino+u2net_sum,vgg16,blur,25.0,0.933
imagenet,independent,dino+u2net_sum,vgg16,blur,30.0,0.925
imagenet,independent,dino+u2net_sum,vgg16,blur,35.0,0.92
imagenet,independent,dino+u2net_sum,vgg16,blur,40.0,0.912
imagenet,independent,dino+u2net_sum,vgg16,blur,45.0,0.906
imagenet,independent,dino+u2net_sum,vgg16,blur,50.0,0.892
imagenet,independent,dino+u2net_sum,vgg16,blur,55.0,0.876
imagenet,independent,dino+u2net_sum,vgg16,blur,60.0,0.856
imagenet,independent,dino+u2net_sum,vgg16,blur,65.0,0.839
imagenet,independent,dino+u2net_sum,vgg16,blur,70.0,0.799
imagenet,independent,dino+u2net_sum,vgg16,blur,75.0,0.743
imagenet,independent,dino+u2net_sum,vgg16,blur,80.0,0.662
imagenet,independent,dino+u2net_sum,vgg16,blur,85.0,0.509
imagenet,independent,dino+u2net_sum,vgg16,blur,90.0,0.344
imagenet,independent,dino+u2net_sum,vgg16,blur,95.0,0.176
imagenet,independent,dino+u2net_sum,vgg16,blur,100.0,0.112
imagenet,independent,dino+u2net_sum,vgg16,gray,0.0,0.952
imagenet,independent,dino+u2net_sum,vgg16,gray,5.0,0.936
imagenet,independent,dino+u2net_sum,vgg16,gray,10.0,0.914
imagenet,independent,dino+u2net_sum,vgg16,gray,15.0,0.901
imagenet,independent,dino+u2net_sum,vgg16,gray,20.0,0.894
imagenet,independent,dino+u2net_sum,vgg16,gray,25.0,0.869
imagenet,independent,dino+u2net_sum,vgg16,gray,30.0,0.859
imagenet,independent,dino+u2net_sum,vgg16,gray,35.0,0.836
imagenet,independent,dino+u2net_sum,vgg16,gray,40.0,0.823
imagenet,independent,dino+u2net_sum,vgg16,gray,45.0,0.795
imagenet,independent,dino+u2net_sum,vgg16,gray,50.0,0.783
imagenet,independent,dino+u2net_sum,vgg16,gray,55.0,0.761
imagenet,independent,dino+u2net_sum,vgg16,gray,60.0,0.747
imagenet,independent,dino+u2net_sum,vgg16,gray,65.0,0.696
imagenet,independent,dino+u2net_sum,vgg16,gray,70.0,0.662
imagenet,independent,dino+u2net_sum,vgg16,gray,75.0,0.585
imagenet,independent,dino+u2net_sum,vgg16,gray,80.0,0.489
imagenet,independent,dino+u2net_sum,vgg16,gray,85.0,0.333
imagenet,independent,dino+u2net_sum,vgg16,gray,90.0,0.178
imagenet,independent,dino+u2net_sum,vgg16,gray,95.0,0.068
imagenet,independent,dino+u2net_sum,vgg16,gray,100.0,0.005
imagenet,independent,dino+u2net_sum,vgg16,mean,0.0,0.952
imagenet,independent,dino+u2net_sum,vgg16,mean,5.0,0.946
imagenet,independent,dino+u2net_sum,vgg16,mean,10.0,0.933
imagenet,independent,dino+u2net_sum,vgg16,mean,15.0,0.92
imagenet,independent,dino+u2net_sum,vgg16,mean,20.0,0.908
imagenet,independent,dino+u2net_sum,vgg16,mean,25.0,0.901
imagenet,independent,dino+u2net_sum,vgg16,mean,30.0,0.889
imagenet,independent,dino+u2net_sum,vgg16,mean,35.0,0.875
imagenet,independent,dino+u2net_sum,vgg16,mean,40.0,0.861
imagenet,independent,dino+u2net_sum,vgg16,mean,45.0,0.842
imagenet,independent,dino+u2net_sum,vgg16,mean,50.0,0.839
imagenet,independent,dino+u2net_sum,vgg16,mean,55.0,0.812
imagenet,independent,dino+u2net_sum,vgg16,mean,60.0,0.787
imagenet,independent,dino+u2net_sum,vgg16,mean,65.0,0.745
imagenet,independent,dino+u2net_sum,vgg16,mean,70.0,0.71
imagenet,independent,dino+u2net_sum,vgg16,mean,75.0,0.629
imagenet,independent,dino+u2net_sum,vgg16,mean,80.0,0.531
imagenet,independent,dino+u2net_sum,vgg16,mean,85.0,0.367
imagenet,independent,dino+u2net_sum,vgg16,mean,90.0,0.211
imagenet,independent,dino+u2net_sum,vgg16,mean,95.0,0.093
imagenet,independent,dino+u2net_sum,vgg16,mean,100.0,0.009
imagenet,independent,dino+u2net_sum,vgg16,random_noise,0.0,0.952
imagenet,independent,dino+u2net_sum,vgg16,random_noise,5.0,0.942
imagenet,independent,dino+u2net_sum,vgg16,random_noise,10.0,0.924
imagenet,independent,dino+u2net_sum,vgg16,random_noise,15.0,0.906
imagenet,independent,dino+u2net_sum,vgg16,random_noise,20.0,0.892
imagenet,independent,dino+u2net_sum,vgg16,random_noise,25.0,0.884
imagenet,independent,dino+u2net_sum,vgg16,random_noise,30.0,0.873
imagenet,independent,dino+u2net_sum,vgg16,random_noise,35.0,0.856
imagenet,independent,dino+u2net_sum,vgg16,random_noise,40.0,0.849
imagenet,independent,dino+u2net_sum,vgg16,random_noise,45.0,0.838
imagenet,independent,dino+u2net_sum,vgg16,random_noise,50.0,0.819
imagenet,independent,dino+u2net_sum,vgg16,random_noise,55.0,0.797
imagenet,independent,dino+u2net_sum,vgg16,random_noise,60.0,0.751
imagenet,independent,dino+u2net_sum,vgg16,random_noise,65.0,0.717
imagenet,independent,dino+u2net_sum,vgg16,random_noise,70.0,0.671
imagenet,independent,dino+u2net_sum,vgg16,random_noise,75.0,0.595
imagenet,independent,dino+u2net_sum,vgg16,random_noise,80.0,0.49
imagenet,independent,dino+u2net_sum,vgg16,random_noise,85.0,0.348
imagenet,independent,dino+u2net_sum,vgg16,random_noise,90.0,0.204
imagenet,independent,dino+u2net_sum,vgg16,random_noise,95.0,0.085
imagenet,independent,dino+u2net_sum,vgg16,random_noise,100.0,0.003
imagenet,independent,dino+u2net_sum,vgg16,white,0.0,0.952
imagenet,independent,dino+u2net_sum,vgg16,white,5.0,0.923
imagenet,independent,dino+u2net_sum,vgg16,white,10.0,0.894
imagenet,independent,dino+u2net_sum,vgg16,white,15.0,0.864
imagenet,independent,dino+u2net_sum,vgg16,white,20.0,0.841
imagenet,independent,dino+u2net_sum,vgg16,white,25.0,0.818
imagenet,independent,dino+u2net_sum,vgg16,white,30.0,0.791
imagenet,independent,dino+u2net_sum,vgg16,white,35.0,0.769
imagenet,independent,dino+u2net_sum,vgg16,white,40.0,0.765
imagenet,independent,dino+u2net_sum,vgg16,white,45.0,0.734
imagenet,independent,dino+u2net_sum,vgg16,white,50.0,0.715
imagenet,independent,dino+u2net_sum,vgg16,white,55.0,0.696
imagenet,independent,dino+u2net_sum,vgg16,white,60.0,0.667
imagenet,independent,dino+u2net_sum,vgg16,white,65.0,0.628
imagenet,independent,dino+u2net_sum,vgg16,white,70.0,0.573
imagenet,independent,dino+u2net_sum,vgg16,white,75.0,0.494
imagenet,independent,dino+u2net_sum,vgg16,white,80.0,0.384
imagenet,independent,dino+u2net_sum,vgg16,white,85.0,0.251
imagenet,independent,dino+u2net_sum,vgg16,white,90.0,0.129
imagenet,independent,dino+u2net_sum,vgg16,white,95.0,0.05
imagenet,independent,dino+u2net_sum,vgg16,white,100.0,0.005
imagenet,independent,dino448,mobilenet_v2,black,0.0,0.942
imagenet,independent,dino448,mobilenet_v2,black,5.0,0.936
imagenet,independent,dino448,mobilenet_v2,black,10.0,0.935
imagenet,independent,dino448,mobilenet_v2,black,15.0,0.93
imagenet,independent,dino448,mobilenet_v2,black,20.0,0.928
imagenet,independent,dino448,mobilenet_v2,black,25.0,0.934
imagenet,independent,dino448,mobilenet_v2,black,30.0,0.931
imagenet,independent,dino448,mobilenet_v2,black,35.0,0.928
imagenet,independent,dino448,mobilenet_v2,black,40.0,0.922
imagenet,independent,dino448,mobilenet_v2,black,45.0,0.919
imagenet,independent,dino448,mobilenet_v2,black,50.0,0.912
imagenet,independent,dino448,mobilenet_v2,black,55.0,0.904
imagenet,independent,dino448,mobilenet_v2,black,60.0,0.901
imagenet,independent,dino448,mobilenet_v2,black,65.0,0.88
imagenet,independent,dino448,mobilenet_v2,black,70.0,0.852
imagenet,independent,dino448,mobilenet_v2,black,75.0,0.818
imagenet,independent,dino448,mobilenet_v2,black,80.0,0.763
imagenet,independent,dino448,mobilenet_v2,black,85.0,0.678
