dataset,generating_model,attribution_method,judging_model,fill_strategy,occlusion_level,mean_accuracy
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,0.0,0.942
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,5.0,0.94
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,10.0,0.931
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,15.0,0.93
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,20.0,0.931
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,25.0,0.925
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,30.0,0.919
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,35.0,0.917
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,40.0,0.915
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,45.0,0.907
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,50.0,0.889
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,55.0,0.877
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,60.0,0.871
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,65.0,0.847
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,70.0,0.814
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,75.0,0.786
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,80.0,0.708
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,85.0,0.577
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,90.0,0.423
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,95.0,0.178
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,100.0,0.005
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,0.0,0.942
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,5.0,0.943
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,10.0,0.936
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,15.0,0.937
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,20.0,0.936
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,25.0,0.936
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,30.0,0.929
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,35.0,0.925
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,40.0,0.92
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,45.0,0.913
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,50.0,0.902
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,55.0,0.892
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,60.0,0.873
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,65.0,0.83
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,70.0,0.809
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,75.0,0.761
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,80.0,0.685
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,85.0,0.565
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,90.0,0.402
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,95.0,0.231
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,100.0,0.128
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,0.0,0.942
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,5.0,0.938
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,10.0,0.939
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,15.0,0.937
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,20.0,0.932
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,25.0,0.924
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,30.0,0.927
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,35.0,0.926
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,40.0,0.922
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,45.0,0.91
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,50.0,0.908
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,55.0,0.891
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,60.0,0.883
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,65.0,0.862
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,70.0,0.837
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,75.0,0.798
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,80.0,0.757
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,85.0,0.66
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,90.0,0.514
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,95.0,0.248
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,100.0,0.005
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,0.0,0.942
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,5.0,0.938
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,10.0,0.943
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,15.0,0.939
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,20.0,0.937
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,25.0,0.931
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,30.0,0.924
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,35.0,0.927
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,40.0,0.928
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,45.0,0.923
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,50.0,0.91
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,55.0,0.905
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,60.0,0.885
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,65.0,0.871
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,70.0,0.841
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,75.0,0.813
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,80.0,0.761
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,85.0,0.667
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,90.0,0.507
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,95.0,0.244
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,100.0,0.007
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,0.0,0.942
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,5.0,0.939
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,10.0,0.936
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,15.0,0.929
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,20.0,0.925
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,25.0,0.915
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,30.0,0.907
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,35.0,0.899
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,40.0,0.896
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,45.0,0.88
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,50.0,0.865
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,55.0,0.848
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,60.0,0.819
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,65.0,0.779
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,70.0,0.739
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,75.0,0.681
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,80.0,0.574
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,85.0,0.428
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,90.0,0.233
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,95.0,0.084
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,100.0,0.006
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,0.0,0.942
