dataset,generating_model,attribution_method,judging_model,fill_strategy,auc,drop_at_75
imagenet,independent,dino+u2net_sum,mobilenet_v2,black,0.787925,0.15599999999999992
imagenet,independent,dino+u2net_sum,mobilenet_v2,blur,0.7929999999999999,0.18099999999999994
imagenet,independent,dino+u2net_sum,mobilenet_v2,gray,0.8093250000000001,0.1439999999999999
imagenet,independent,dino+u2net_sum,mobilenet_v2,mean,0.8134249999999998,0.129
imagenet,independent,dino+u2net_sum,mobilenet_v2,random_noise,0.7375,0.2609999999999999
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,0.771175,0.19599999999999995
imagenet,independent,dino+u2net_sum,resnet50,black,0.8663250000000001,0.09799999999999998
imagenet,independent,dino+u2net_sum,resnet50,blur,0.8975,0.08199999999999996
imagenet,independent,dino+u2net_sum,resnet50,gray,0.8783249999999999,0.09099999999999997
imagenet,independent,dino+u2net_sum,resnet50,mean,0.8812499999999999,0.08799999999999997
imagenet,independent,dino+u2net_sum,resnet50,random_noise,0.8386000000000001,0.15700000000000003
imagenet,independent,dino+u2net_sum,resnet50,white,0.8447749999999998,0.134
imagenet,independent,dino+u2net_sum,vgg16,black,0.5966750000000001,0.516
imagenet,independent,dino+u2net_sum,vgg16,blur,0.7800499999999999,0.20899999999999996
imagenet,independent,dino+u2net_sum,vgg16,gray,0.6803750000000001,0.367
imagenet,independent,dino+u2net_sum,vgg16,mean,0.713975,0.32299999999999995
imagenet,independent,dino+u2net_sum,vgg16,random_noise,0.6959249999999999,0.357
imagenet,independent,dino+u2net_sum,vgg16,white,0.623225,0.45799999999999996
imagenet,independent,dino448,mobilenet_v2,black,0.818775,0.124
imagenet,independent,dino448,mobilenet_v2,blur,0.8015499999999999,0.18399999999999994
imagenet,independent,dino448,mobilenet_v2,gray,0.8267249999999998,0.11399999999999999
imagenet,independent,dino448,mobilenet_v2,mean,0.8290750000000001,0.10399999999999998
imagenet,independent,dino448,mobilenet_v2,random_noise,0.7316749999999999,0.30799999999999994
imagenet,independent,dino448,mobilenet_v2,white,0.7728250000000001,0.21099999999999997
imagenet,independent,dino448,resnet50,black,0.890225,0.08299999999999996
imagenet,independent,dino448,resnet50,blur,0.8874000000000001,0.11099999999999999
imagenet,independent,dino448,resnet50,gray,0.8733749999999999,0.11299999999999999
imagenet,independent,dino448,resnet50,mean,0.8747999999999999,0.10799999999999998
imagenet,independent,dino448,resnet50,random_noise,0.816125,0.22999999999999998
imagenet,independent,dino448,resnet50,white,0.8378250000000002,0.18399999999999994
imagenet,independent,dino448,vgg16,black,0.600725,0.5269999999999999
imagenet,independent,dino448,vgg16,blur,0.79285,0.22899999999999998
imagenet,independent,dino448,vgg16,gray,0.6834250000000001,0.4029999999999999
imagenet,independent,dino448,vgg16,mean,0.7158249999999999,0.346
imagenet,independent,dino448,vgg16,random_noise,0.707325,0.345
imagenet,independent,dino448,vgg16,white,0.624825,0.478
imagenet,independent,dino448+u2net,mobilenet_v2,black,0.8228750000000001,0.123
imagenet,independent,dino448+u2net,mobilenet_v2,blur,0.8101500000000001,0.16899999999999993
imagenet,independent,dino448+u2net,mobilenet_v2,gray,0.833475,0.118
imagenet,independent,dino448+u2net,mobilenet_v2,mean,0.835675,0.10799999999999998
imagenet,independent,dino448+u2net,mobilenet_v2,random_noise,0.761325,0.238
imagenet,independent,dino448+u2net,mobilenet_v2,white,0.793725,0.18099999999999994
imagenet,independent,dino448+u2net,resnet50,black,0.895275,0.07599999999999996
imagenet,independent,dino448+u2net,resnet50,blur,0.9023,0.09799999999999998
imagenet,independent,dino448+u2net,resnet50,gray,0.8864249999999998,0.09699999999999998
imagenet,independent,dino448+u2net,resnet50,mean,0.8877499999999999,0.09599999999999997
imagenet,independent,dino448+u2net,resnet50,random_noise,0.84185,0.18799999999999994
imagenet,independent,dino448+u2net,resnet50,white,0.8600249999999999,0.137
imagenet,independent,dino448+u2net,vgg16,black,0.652525,0.42999999999999994
imagenet,independent,dino448+u2net,vgg16,blur,0.8128,0.17599999999999993
imagenet,independent,dino448+u2net,vgg16,gray,0.7280249999999999,0.30799999999999994
imagenet,independent,dino448+u2net,vgg16,mean,0.7549749999999998,0.2649999999999999
imagenet,independent,dino448+u2net,vgg16,random_noise,0.7454500000000001,0.2709999999999999
imagenet,independent,dino448+u2net,vgg16,white,0.6756749999999999,0.389
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,mobilenet_v2,black,0.835675,0.12
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,mobilenet_v2,blur,0.8135499999999999,0.16899999999999993
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,mobilenet_v2,gray,0.840725,0.11599999999999999
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,mobilenet_v2,mean,0.8383749999999999,0.11299999999999999
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,mobilenet_v2,random_noise,0.7642250000000002,0.23399999999999999
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,mobilenet_v2,white,0.7960749999999999,0.16199999999999992
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,resnet50,black,0.9070749999999999,0.06299999999999994
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,resnet50,blur,0.9005000000000001,0.08599999999999997
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,resnet50,gray,0.8914249999999998,0.08399999999999996
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,resnet50,mean,0.8916000000000001,0.08499999999999996
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,resnet50,random_noise,0.8461749999999999,0.15600000000000003
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,resnet50,white,0.8661250000000001,0.125
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,vgg16,black,0.691975,0.4019999999999999
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,vgg16,blur,0.8129,0.17499999999999993
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,vgg16,gray,0.741925,0.29399999999999993
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,vgg16,mean,0.7611250000000003,0.256
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,vgg16,random_noise,0.75935,0.2679999999999999
imagenet,independent,dinov2_COMBO_ENT_SMOOTH,vgg16,white,0.7181250000000001,0.31899999999999995
imagenet,independent,u2net,mobilenet_v2,black,0.795075,0.18899999999999995
imagenet,independent,u2net,mobilenet_v2,blur,0.7890999999999999,0.21399999999999997
imagenet,independent,u2net,mobilenet_v2,gray,0.8119749999999999,0.15999999999999992
imagenet,independent,u2net,mobilenet_v2,mean,0.808775,0.15699999999999992
imagenet,independent,u2net,mobilenet_v2,random_noise,0.7526750000000001,0.2669999999999999
imagenet,independent,u2net,mobilenet_v2,white,0.781425,0.19999999999999996
imagenet,independent,u2net,resnet50,black,0.8630750000000001,0.118
imagenet,independent,u2net,resnet50,blur,0.88485,0.119
imagenet,independent,u2net,resnet50,gray,0.8631750000000001,0.131
imagenet,independent,u2net,resnet50,mean,0.8680500000000001,0.12
imagenet,independent,u2net,resnet50,random_noise,0.8276749999999998,0.19299999999999995
imagenet,independent,u2net,resnet50,white,0.8357749999999998,0.17799999999999994
imagenet,independent,u2net,vgg16,black,0.6447250000000001,0.46599999999999997
imagenet,independent,u2net,vgg16,blur,0.7898,0.22799999999999998
imagenet,independent,u2net,vgg16,gray,0.719425,0.32699999999999996
imagenet,independent,u2net,vgg16,mean,0.7426750000000001,0.2899999999999999
imagenet,independent,u2net,vgg16,random_noise,0.7364750000000001,0.2929999999999999
imagenet,independent,u2net,vgg16,white,0.6695749999999999,0.3979999999999999
imagenet,independent,u2net+dino,mobilenet_v2,black,0.7986249999999999,0.15699999999999992
imagenet,independent,u2net+dino,mobilenet_v2,blur,0.8058000000000001,0.17099999999999993
imagenet,independent,u2net+dino,mobilenet_v2,gray,0.8148749999999998,0.1479999999999999
imagenet,independent,u2net+dino,mobilenet_v2,mean,0.8209250000000001,0.1309999999999999
imagenet,independent,u2net+dino,mobilenet_v2,random_noise,0.7496749999999999,0.2659999999999999
imagenet,independent,u2net+dino,mobilenet_v2,white,0.7744249999999999,0.20899999999999996
imagenet,independent,u2net+dino,resnet50,black,0.8773249999999999,0.10999999999999999
imagenet,independent,u2net+dino,resnet50,blur,0.8935500000000001,0.09999999999999998
imagenet,independent,u2net+dino,resnet50,gray,0.8692750000000001,0.11699999999999999
imagenet,independent,u2net+dino,resnet50,mean,0.8758499999999999,0.10999999999999999
imagenet,independent,u2net+dino,resnet50,random_noise,0.8282499999999999,0.19599999999999995
imagenet,independent,u2net+dino,resnet50,white,0.8383250000000002,0.16500000000000004
imagenet,independent,u2net+dino,vgg16,black,0.611075,0.48899999999999993
imagenet,independent,u2net+dino,vgg16,blur,0.7981999999999999,0.20599999999999996
imagenet,independent,u2net+dino,vgg16,gray,0.6990249999999999,0.355
imagenet,independent,u2net+dino,vgg16,mean,0.733425,0.30999999999999994
imagenet,independent,u2net+dino,vgg16,random_noise,0.7186,0.31499999999999995
imagenet,independent,u2net+dino,vgg16,white,0.6399250000000001,0.43599999999999994
imagenet,independent,u2net+dino_320,mobilenet_v2,black,0.7969250000000002,0.15799999999999992
imagenet,independent,u2net+dino_320,mobilenet_v2,blur,0.80585,0.17099999999999993
imagenet,independent,u2net+dino_320,mobilenet_v2,gray,0.8145749999999999,0.1459999999999999
imagenet,independent,u2net+dino_320,mobilenet_v2,mean,0.819675,0.1379999999999999
imagenet,independent,u2net+dino_320,mobilenet_v2,random_noise,0.7491000000000001,0.2619999999999999
imagenet,independent,u2net+dino_320,mobilenet_v2,white,0.7729750000000002,0.21099999999999997
imagenet,independent,u2net+dino_320,resnet50,black,0.876375,0.11199999999999999
imagenet,independent,u2net+dino_320,resnet50,blur,0.8935,0.10099999999999998
imagenet,independent,u2net+dino_320,resnet50,gray,0.8680249999999999,0.119
imagenet,independent,u2net+dino_320,resnet50,mean,0.8747999999999999,0.11299999999999999
imagenet,independent,u2net+dino_320,resnet50,random_noise,0.8287249999999997,0.18999999999999995
imagenet,independent,u2net+dino_320,resnet50,white,0.836825,0.16900000000000004
imagenet,independent,u2net+dino_320,vgg16,black,0.6082750000000001,0.49499999999999994
imagenet,independent,u2net+dino_320,vgg16,blur,0.7991499999999999,0.20399999999999996
imagenet,independent,u2net+dino_320,vgg16,gray,0.6982249999999999,0.353
imagenet,independent,u2net+dino_320,vgg16,mean,0.7333250000000001,0.31599999999999995
imagenet,independent,u2net+dino_320,vgg16,random_noise,0.7178999999999999,0.31999999999999995
imagenet,independent,u2net+dino_320,vgg16,white,0.639525,0.43799999999999994
imagenet,mobilenet_v2,grad_cam,resnet50,black,0.9368749999999999,0.016000000000000014
imagenet,mobilenet_v2,grad_cam,resnet50,blur,0.9133000000000002,0.061999999999999944
imagenet,mobilenet_v2,grad_cam,resnet50,gray,0.9156750000000001,0.03500000000000003
imagenet,mobilenet_v2,grad_cam,resnet50,mean,0.9118999999999998,0.03600000000000003
